uid,tag,key,time,did,value,metric,last_modify
47675629,weekly_statistics,update_hlthcenter_records,1757865600,default_did,,0,1759157134
47675629,weekly_statistics,update_hlthcenter_records,1757260800,default_did,,0,1757928583
47675629,weekly_statistics,start_calculate,1757260800,default_did,,0,1757928583
47675629,weekly_statistics,fitness_report,1757260800,default_did,"{""sports_value"":{""running"":{""field_type"":""int_value"",""field_unit"":""metre"",""int_value"":17336}},""sports_duration"":{""field_type"":""int_value"",""field_unit"":""sec"",""int_value"":9308},""sports_hr_max"":176,""sport_times"":4,""sport_times_diff"":0,""sport_days"":3,""sport_days_diff"":0,""steps_summary"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":67455},""step_goal_achieve"":7,""calorie_summary"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":5184},""cal_goal_achieve"":6,""rank_percent_summary"":{""1"":0.85,""2"":0.88},""all_fitness_goal_achieved_count"":5,""allFitnessGoalAchivevedDay"":{""1757376000"":true,""1757462400"":true,""1757548800"":true,""1757721600"":true,""1757808000"":true},""all_fitness_goal_achieved_count_diff"":0,""avg_achieved_fitness_goal_summary"":{""1757260800"":{""1"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":9636},""2"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":740},""3"":{""field_type"":""int_value"",""field_unit"":""1"",""int_value"":9},""4"":{""field_type"":""int_value"",""field_unit"":""min"",""int_value"":50}}},""sleep_report"":{""avg_sleep_score"":62,""max_sleep_score"":71,""avg_sleep_duration"":542,""avg_deep_sleep_duration"":122,""avg_deep_sleep_rate"":22,""sleep_stage"":2,""sleep_evaluation"":3,""week_lastest_bed_time"":1757650740,""week_lastest_bed_time_zone"":-4,""week_earliest_wake_up_time"":1757665920,""week_earliest_wake_up_zone"":-4},""hlth_status"":{""avg_rhr"":64,""max_hr"":186},""version"":1}",0,1757928583
47675629,weekly_statistics,update_hlthcenter_records,1756656000,default_did,,0,1757305434
47675629,weekly_statistics,start_calculate,1756656000,default_did,,0,1757305434
47675629,weekly_statistics,fitness_report,1756656000,default_did,"{""sports_value"":{""running"":{""field_type"":""int_value"",""field_unit"":""metre"",""int_value"":9605}},""sports_duration"":{""field_type"":""int_value"",""field_unit"":""sec"",""int_value"":9990},""sports_hr_max"":182,""sport_times"":4,""sport_times_diff"":0,""sport_days"":2,""sport_days_diff"":0,""steps_summary"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":73877},""step_goal_achieve"":5,""calorie_summary"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":5606},""cal_goal_achieve"":6,""rank_percent_summary"":{""1"":0.9,""2"":0.9},""all_fitness_goal_achieved_count"":4,""allFitnessGoalAchivevedDay"":{""1756684800"":true,""1756771200"":true,""1756857600"":true,""1757116800"":true},""all_fitness_goal_achieved_count_diff"":0,""avg_achieved_fitness_goal_summary"":{""1756656000"":{""1"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":10553},""2"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":800},""3"":{""field_type"":""int_value"",""field_unit"":""1"",""int_value"":10},""4"":{""field_type"":""int_value"",""field_unit"":""min"",""int_value"":45}}},""sleep_report"":{""avg_sleep_score"":59,""max_sleep_score"":68,""avg_sleep_duration"":426,""avg_deep_sleep_duration"":108,""avg_deep_sleep_rate"":23,""sleep_stage"":1,""sleep_evaluation"":3,""week_lastest_bed_time"":1757139900,""week_lastest_bed_time_zone"":-4,""week_earliest_wake_up_time"":1756942140,""week_earliest_wake_up_zone"":3},""hlth_status"":{""avg_rhr"":64,""max_hr"":181,""avg_stress"":31,""max_stress"":31},""version"":1}",0,1757305434
47675629,weekly_statistics,update_hlthcenter_records,1756051200,default_did,,0,1757101159
47675629,weekly_statistics,start_calculate,1756051200,default_did,,0,1757101159
47675629,weekly_statistics,fitness_report,1756051200,default_did,"{""sports_value"":{""running"":{""field_type"":""int_value"",""field_unit"":""metre"",""int_value"":27630}},""sports_duration"":{""field_type"":""int_value"",""field_unit"":""sec"",""int_value"":13949},""sports_hr_max"":157,""sport_times"":5,""sport_times_diff"":0,""sport_days"":5,""sport_days_diff"":0,""steps_summary"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":54252},""step_goal_achieve"":5,""calorie_summary"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":3071},""cal_goal_achieve"":4,""rank_percent_summary"":{""1"":0.79,""2"":0.72},""all_fitness_goal_achieved_count"":2,""allFitnessGoalAchivevedDay"":{""1756425600"":true,""1756512000"":true},""all_fitness_goal_achieved_count_diff"":0,""avg_achieved_fitness_goal_summary"":{""1756051200"":{""1"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":9042},""2"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":511},""3"":{""field_type"":""int_value"",""field_unit"":""1"",""int_value"":6},""4"":{""field_type"":""int_value"",""field_unit"":""min"",""int_value"":30}}},""sleep_report"":{""avg_sleep_score"":61,""max_sleep_score"":77,""avg_sleep_duration"":364,""avg_deep_sleep_duration"":86,""avg_deep_sleep_rate"":20,""sleep_stage"":3,""sleep_evaluation"":1,""week_lastest_bed_time"":1756232220,""week_lastest_bed_time_zone"":8,""week_earliest_wake_up_time"":1756419360,""week_earliest_wake_up_zone"":8},""hlth_status"":{""avg_rhr"":62,""max_hr"":154,""avg_stress"":34,""max_stress"":34},""version"":1}",0,1757101159
